grid_id,area_km2,distance_to_bell_m,distance_to_bell_km,final_grid_id,poi_total,final_grid_id_cat,catering,life_service,shopping,poi_density,road_length_m,road_density_km_per_km2,intersection_count,mean_intersection_degree,intersection_density_n_per_km2,model_fitted,model_residual
1258,0.25,3545.085241700717,3.5450852417007166,1258.0,195.0,1258.0,58.0,46.0,91.0,780.0,6497.453834145084,25.98981533658034,28.0,3.142857142857143,112.0,656.4514914458903,123.54850855410973
1259,0.25,3514.937616999385,3.514937616999385,1259.0,38.0,1259.0,8.0,12.0,18.0,152.0,4023.4279999444843,16.093711999777938,8.0,3.125,32.0,658.695611878449,-506.695611878449
1260,0.25,3902.518498595245,3.9025184985952452,1260.0,112.0,1260.0,31.0,39.0,42.0,448.0,3338.2229383431663,13.352891753372665,5.0,3.2,20.0,611.0528053849432,-163.0528053849432
1261,0.25,3159.1014974065884,3.1591014974065885,1261.0,144.0,1261.0,28.0,54.0,62.0,576.0,2827.1565566260083,11.308626226504034,7.0,3.4285714285714284,28.0,747.7140761591093,-171.71407615910925
1262,0.25,3204.2283550629836,3.2042283550629835,1262.0,6.0,1262.0,2.0,3.0,1.0,24.0,6616.225155123685,26.46490062049474,15.0,3.2,60.0,713.3168163667381,-689.3168163667381
1263,0.25,3625.1818619029864,3.6251818619029863,1263.0,265.0,1263.0,106.0,49.0,110.0,1060.0,5195.725697359929,20.782902789439714,15.0,3.066666666666667,60.0,635.4585850053882,424.54141499461184
1264,0.25,2809.3086642284193,2.809308664228419,1264.0,45.0,1264.0,19.0,17.0,9.0,180.0,5822.961277968933,23.291845111875734,17.0,3.9411764705882355,68.0,861.2606740552778,-681.2606740552778
1265,0.25,2862.395582116556,2.862395582116556,1265.0,291.0,1265.0,111.0,82.0,98.0,1164.0,3370.672522379583,13.482690089518332,7.0,3.2857142857142856,28.0,773.7986176518918,390.20138234810815
1266,0.25,2969.5865517003554,2.9695865517003552,1266.0,140.0,1266.0,29.0,28.0,83.0,560.0,4394.10330478655,17.5764132191462,14.0,3.0714285714285716,56.0,732.0488995789455,-172.04889957894545
1267,0.25,3401.281512471155,3.4012815124711553,1267.0,279.0,1267.0,46.0,58.0,175.0,1116.0,10456.206908494942,41.824827633979766,45.0,3.111111111111111,180.0,673.6519184531061,442.3480815468939
1268,0.25,3153.344273554481,3.153344273554481,1268.0,142.0,1268.0,45.0,45.0,52.0,568.0,7093.41991646534,28.37367966586136,26.0,3.3076923076923075,104.0,733.861391850882,-165.861391850882
1269,0.25,2496.1444645757033,2.4961444645757034,1269.0,305.0,1269.0,64.0,41.0,200.0,1220.0,3999.8036467288407,15.999214586915363,5.0,3.0,20.0,792.7002030678011,427.2997969321989
1270,0.25,2367.6151225468834,2.3676151225468836,1270.0,460.0,1270.0,155.0,184.0,121.0,1840.0,2143.9053209141084,8.575621283656433,2.0,3.5,8.0,872.3104943024246,967.6895056975754
1271,0.25,2996.833133003969,2.9968331330039693,1271.0,313.0,1271.0,64.0,103.0,146.0,1252.0,5230.176400183034,20.920705600732138,14.0,3.142857142857143,56.0,736.742556963366,515.257443036634
1272,0.25,2712.1712717951928,2.7121712717951927,1272.0,210.0,1272.0,49.0,67.0,94.0,840.0,5006.121092551133,20.024484370204533,10.0,3.3,40.0,797.5356223191104,42.464377680889584
1273,0.25,2295.2485502758677,2.295248550275868,1273.0,176.0,1273.0,26.0,61.0,89.0,704.0,4038.4410436515336,16.153764174606135,13.0,3.6153846153846154,52.0,896.9363515595799,-192.93635155957986
1274,0.25,2625.5098032692053,2.6255098032692055,1274.0,566.0,1274.0,197.0,151.0,218.0,2264.0,3852.343187492138,15.409372749968552,8.0,3.5,32.0,834.542032716921,1429.4579672830791
1275,0.25,2846.938371379995,2.846938371379995,1275.0,122.0,1275.0,33.0,22.0,67.0,488.0,2923.3287604826755,11.693315041930703,4.0,3.25,16.0,771.720365031425,-283.720365031425
1276,0.25,2419.778859622142,2.4197788596221423,1276.0,106.0,1276.0,27.0,33.0,46.0,424.0,2775.112715512699,11.100450862050797,2.0,3.5,8.0,864.6711583751958,-440.6711583751958
1277,0.25,2453.028942028221,2.453028942028221,1277.0,282.0,1277.0,83.0,66.0,133.0,1128.0,4482.73196165021,17.93092784660084,18.0,3.7222222222222223,72.0,886.8182785389428,241.18172146105724
1278,0.25,1841.9442035484633,1.8419442035484632,1278.0,240.0,1278.0,101.0,65.0,74.0,960.0,5318.466722150943,21.27386688860377,23.0,3.8260869565217392,92.0,988.938438981588,-28.93843898158798
1279,0.25,1941.036483290964,1.9410364832909641,1279.0,146.0,1279.0,43.0,57.0,46.0,584.0,7029.6468688512405,28.11858747540496,23.0,3.652173913043478,92.0,953.2830566653129,-369.28305666531287
1280,0.25,2154.6430817997034,2.1546430817997035,1280.0,275.0,1280.0,111.0,69.0,95.0,1100.0,4979.189436790979,19.916757747163917,12.0,3.3333333333333335,48.0,883.2376472942597,216.76235270574034
1281,0.25,1343.5219942293836,1.3435219942293837,1281.0,207.0,1281.0,75.0,51.0,81.0,828.0,4394.026645009843,17.576106580039372,19.0,3.263157894736842,76.0,993.4941087242273,-165.49410872422732
1282,0.25,1476.45370041152,1.47645370041152,1282.0,139.0,1282.0,47.0,39.0,53.0,556.0,4511.030777901662,18.04412311160665,10.0,3.4,40.0,990.6628884979386,-434.66288849793864
1283,0.25,2104.671919901154,2.104671919901154,1283.0,84.0,1283.0,20.0,21.0,43.0,336.0,7037.422230526623,28.149688922106492,25.0,3.4,100.0,898.6608525363879,-562.6608525363879
1284,0.25,1747.7928109303002,1.7477928109303003,1284.0,87.0,1284.0,29.0,26.0,32.0,348.0,2704.074500399334,10.816298001597335,1.0,4.0,4.0,1023.8702324862164,-675.8702324862164
1351,0.25,4927.466794649582,4.927466794649582,1351.0,151.0,1351.0,34.0,58.0,59.0,604.0,4929.627012409095,19.71850804963638,9.0,3.111111111111111,36.0,450.1433527049808,153.85664729501917
1353,0.25,4603.501049458611,4.603501049458611,1353.0,450.0,1353.0,162.0,115.0,173.0,1800.0,3462.0508802506556,13.848203521002622,6.0,3.6666666666666665,24.0,565.1292844746877,1234.8707155253123
1357,0.25,4313.295122334995,4.313295122334995,1357.0,136.0,1357.0,56.0,37.0,43.0,544.0,3826.669756557637,15.306679026230547,12.0,3.5,48.0,587.3672759163021,-43.367275916302106
1359,0.25,4741.242346984556,4.741242346984556,1359.0,262.0,1359.0,89.0,59.0,114.0,1048.0,3414.5152439521703,13.65806097580868,7.0,3.5714285714285716,28.0,533.3786572137924,514.6213427862076
